id,name,keywords
travel,Du lịch,du lịch;đi chơi;tham quan;nghỉ dưỡng;phượt;khám phá;trăng mật;du xuân;check in;nghỉ mát;trốn nóng;trốn rét;trốn lạnh
wedding,Đám cưới,đám cưới;cưới;tiệc cưới;lễ cưới;cưới hỏi;đám hỏi;ăn hỏi;kết hôn;rước dâu
running,"Chạy bộ, thể thao ngoài trời",chạy bộ;chạy;marathon;đạp xe;đi bộ;tập thể dục;đá bóng;thể thao
photography,Chụp ảnh ngoài trời,chụp ảnh;chụp hình;săn mây;săn ảnh;quay phim;flycam;bình minh;hoàng hôn
coffee,Cà phê ngoài trời,cà phê;cafe;cafe vỉa hè;trà đá;trà chanh;ngồi quán
drying,Phơi quần áo,phơi;phơi đồ;phơi quần áo;phơi chăn;giặt đồ
beach,Tắm biển,tắm biển;đi biển;ra biển;bơi;lặn biển;lặn;lướt sóng
camping,"Cắm trại, leo núi, dã ngoại",cắm trại;dã ngoại;picnic;glamping;leo núi;trekking
